gene_symbol	drug_name	interaction_score	sources
BRCA1	7-HYDROXY ISOFLAVONE	0.1150695423767015	DTC
BRCA1	OLAPARIB	0.2484456028587875	CGI; ClearityFoundationBiomarkers; CIViC; OncoKB; PharmGKB
BRCA1	PLATINUM COMPOUND	0.2157553919563154	CIViC
BRCA1	DAIDZIN	0.191782570627836	DTC
BRCA1	CHEMBL:CHEMBL581929	0.095891285313918	DTC
BRCA1	PIDNARULEX	0.575347711883508	CIViC
BRCA1	CHEMBL:CHEMBL1481721	0.575347711883508	DTC
BRCA1	CHEMBL:CHEMBL484663	0.0719184639854385	DTC
BRCA1	CHEMBL:CHEMBL1214407	0.143836927970877	DTC
BRCA1	2-PHENYLQUINOLINE	0.575347711883508	DTC
BRCA1	HARMALOL	0.143836927970877	DTC
BRCA1	CHEMBL:CHEMBL1574420	0.095891285313918	DTC
BRCA1	DOXORUBICIN HYDROCHLORIDE	0.01039785021476219	DTC; NCI
BRCA1	MITOMYCIN	0.0547950201793817	NCI
BRCA1	PACLITAXEL PROTEIN-BOUND	0.009835003621940307	NCI
BRCA1	RESVERATROL	0.01797961599635962	DTC
BRCA1	CHEMBL:CHEMBL12658	0.575347711883508	DTC
BRCA1	ONONIN	0.1150695423767015	DTC
BRCA1	CEDIRANIB	0.02348358007687787	CIViC
BRCA1	PIPERINE	0.05230433744395527	DTC
BRCA1	CHEMBL:CHEMBL446567	0.575347711883508	DTC
BRCA1	CHEMBL:CHEMBL546649	0.1150695423767015	DTC
BRCA1	DEPHOSTATIN	0.02301390847534032	DTC
BRCA1	SEMUSTINE	0.287673855941754	DTC
BRCA1	CISPLATIN	0.03100676291587767	CIViC; CGI; NCI; ClearityFoundationBiomarkers
BRCA1	CHEMBL:CHEMBL1404865	0.575347711883508	DTC
BRCA1	QUARFLOXIN	0.383565141255672	CIViC
BRCA1	PARP/TANKYRASE INHIBITOR 2X-121	0.095891285313918	ClearityFoundationBiomarkers
BRCA1	WISTIN	0.575347711883508	DTC
BRCA1	CHRYSIN DIMETHYL ETHER	0.191782570627836	DTC
BRCA1	GEMCITABINE	0.02841223268560533	NCI; CIViC
BRCA1	CHEMBL:CHEMBL600315	0.287673855941754	DTC
BRCA1	AURINTRICARBOXYLIC ACID	0.01855960360914541	DTC
BRCA1	MITOXANTRONE HYDROCHLORIDE	0.1643850605381451	NCI
BRCA1	SACITUZUMAB GOVITECAN	0.0719184639854385	PharmGKB
BRCA1	CHEMBL:CHEMBL588683	0.143836927970877	DTC
BRCA1	CHEMBL:CHEMBL593254	0.191782570627836	DTC
BRCA1	CHEMBL:CHEMBL588525	0.191782570627836	DTC
BRCA1	PURPURIN	0.02739751008969085	DTC
BRCA1	CHEMBL:CHEMBL316796	0.191782570627836	DTC
BRCA1	CHEMBL:CHEMBL1709259	0.575347711883508	DTC
BRCA1	CHEMBL:CHEMBL452954	0.1150695423767015	DTC
BRCA1	CHEMBL:CHEMBL1078244	0.287673855941754	DTC
BRCA1	RIBOFLAVIN	0.1150695423767015	DTC
BRCA1	GAMMA-FAGARINE	0.575347711883508	DTC
BRCA1	THERAPEUTIC HORMONE	0.02615216872197763	NCI
BRCA1	TIAPROFENIC ACID	0.191782570627836	DTC
BRCA1	CARBOPLATIN	0.01961412654148322	ClearityFoundationBiomarkers; CIViC
BRCA1	CHEMBL:CHEMBL1320798	0.575347711883508	DTC
BRCA1	PHYTOESTROGEN	0.287673855941754	NCI
BRCA1	CHEMBL:CHEMBL1308677	0.287673855941754	DTC
BRCA1	CHEMBL:CHEMBL581910	0.095891285313918	DTC
BRCA1	PHENAMIL METHANESULFONATE	0.095891285313918	DTC
BRCA1	TAMOXIFEN CITRATE	0.042618349028408	NCI
BRCA1	DIPYRIDAMOLE	0.01128132768399035	DTC
BRCA1	OXALIPLATIN	0.04209861306464693	ClearityFoundationBiomarkers; CIViC
BRCA1	EUFLAVINE	0.03595923199271925	DTC
BRCA1	GLABRIDIN	0.575347711883508	DTC
BRCA1	DAUNORUBICIN HYDROCHLORIDE	0.01743477914798509	DTC
BRCA1	CHEMBL:CHEMBL1420181	0.1150695423767015	DTC
BRCA1	CHEMBL:CHEMBL589207	0.287673855941754	DTC
BRCA1	QUINALIZARIN	0.0383565141255672	DTC
BRCA1	CHEMBL:CHEMBL114544	0.0719184639854385	DTC
BRCA1	CHEMBL:CHEMBL546865	0.095891285313918	DTC
BRCA1	7-HYDROXYFLAVONE	0.575347711883508	DTC
BRCA1	IROFULVEN	0.383565141255672	NCI
BRCA1	VINORELBINE	0.04602781695068064	NCI
BRCA1	CHEMBL:CHEMBL587620	0.1150695423767015	DTC
BRCA1	THUNBERGINOL E	0.287673855941754	DTC
BRCA1	ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC	0.095891285313918	NCI
BRCA1	VELIPARIB	0.191782570627836	ClearityFoundationBiomarkers; CIViC; CGI
BRCA1	DIMETHYL YELLOW	0.143836927970877	DTC
BRCA1	ILEPCIMIDE	0.191782570627836	DTC
BRCA1	CHEMBL:CHEMBL1998001	0.1150695423767015	DTC
BRCA1	VU0001171	0.1150695423767015	DTC
BRCA1	RUCAPARIB	0.1678097492993565	CIViC; PharmGKB; ClearityFoundationBiomarkers; CGI; OncoKB
BRCA1	SB 204741	0.047945642656959	DTC
BRCA1	CHEMBL:CHEMBL1405979	0.143836927970877	DTC
BRCA1	CHEMBL:CHEMBL153505	0.287673855941754	DTC
BRCA1	THIABENDAZOLE	0.095891285313918	DTC
BRCA1	EMODIN	0.287673855941754	NCI
