gene_symbol	is_diamond_panel	composite_druggability_score	clinical_maturity	approval_tier_score	interaction_subscore	source_diversity_subscore	drug_count_subscore	n_drugs	n_approved_drugs	approved_drugs	top_candidate_drugs	interaction_types	mechanisms_of_action	indications
EGFR	No	0.7134	FDA Approved	1.0	0.1779	0.8	1.0	262	65	ACALABRUTINIB; AFATINIB; AFATINIB DIMALEATE; AMIVANTAMAB; ATEZOLIZUMAB; BEVACIZUMAB; BRIGATINIB; CARBOPLATIN; CEMIPLIMAB; CETUXIMAB	ABIVERTINIB; ABIVERTINIB MALEATE; ACALABRUTINIB; AEE788; AFATINIB; AFATINIB DIMALEATE; AG 112; AG 490	antibody; binder; inhibitor; modulator; negative modulator; vaccine	Antagonist; Binding; EGFR inhibitor; Epidermal growth factor receptor binding agent; Epidermal growth factor receptor erbB1 antagonist; Epidermal growth factor receptor erbB1 binding agent; Epidermal growth factor receptor erbB1 cross-linking agent; Epidermal growth factor receptor erbB1 inhibitor; Epidermal growth factor receptor erbB1 negative allosteric modulator; Epidermal growth factor receptor erbB1 vaccine antigen; Epidermal growth factor receptor inhibitor; HER2 and EGFR kinase inhibitor; Inhibition; Irreversible inhibition; Negative; Sensitivity; VEGFR, EGFR, and RET inhibitor	Antineoplastic Agents; DMARD; Immunomodulatory Agents; adjuvant to chemotherapy; anestethic; anesthetic; antidiabetic; antiinflammatory agent; antineo
CHEK1	No	0.6855	FDA Approved	1.0	0.3518	0.4	1.0	51	8	CISPLATIN; DOXORUBICIN HYDROCHLORIDE; ETOPOSIDE; GEMCITABINE; GEMTUZUMAB OZOGAMICIN; OLAPARIB; PACLITAXEL PROTEIN-BOUND; PALBOCICLIB	7-HYDROXYSTAUROSPORINE; AZD7762; BEN-28010; BERZOSERTIB; BX-795; BX-912; CCT241533; CCT244747	inhibitor	Inhibition; Serine/threonine-protein kinase Chk1 inhibitor	Antineoplastic Agents; DMARD; antiinflammatory agent; antineoplastic agent; for treatment of peripheral arterial disease (PAD)
BRCA2	No	0.6508	FDA Approved	1.0	0.2885	0.3333	0.984	19	12	BOSUTINIB; CARBOPLATIN; CISPLATIN; DASATINIB ANHYDROUS; ENZALUTAMIDE; GEMCITABINE; NIRAPARIB; OLAPARIB; RUCAPARIB; SACITUZUMAB GOVITECAN	BOSUTINIB; CARBOPLATIN; CEDIRANIB; CISPLATIN; DASATINIB ANHYDROUS; ENZALUTAMIDE; GEMCITABINE; INIPARIB		Sensitivity	antineoplastic agent
PARP1	No	0.6474	FDA Approved	1.0	0.2691	0.3333	1.0	42	11	CICLOPIROX; NIACIN; NIRAPARIB; NIRAPARIB TOSYLATE; NIRAPARIB TOSYLATE MONOHYDRATE; OLAPARIB; RUCAPARIB; RUCAPARIB CAMSYLATE; TALAZOPARIB; TALAZOPARIB TOSYLATE	2X-121; 4-[3-(1,4-DIAZEPAN-1-YLCARBONYL)-4-FLUOROBENZYL]PHTHALAZIN-1(2H)-ONE; AG14361; AMELPARIB DIHYDROCHLORIDE DIHYDRATE; AZ1366; BGP-15; CEP-9722; CICLOPIROX	inhibitor; other/unknown	Inhibition; PARP 1, 2 and 3 inhibitor; PARP inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor	antidyslipidaemic agent; antineoplastic agent; substance abuse deterrant
CHEK2	No	0.6463	FDA Approved	1.0	0.1767	0.4667	1.0	42	10	ABIRATERONE ACETATE; ENZALUTAMIDE; GEFITINIB; NIRAPARIB; OLAPARIB; PALBOCICLIB; PREDNISONE; RUCAPARIB; TALAZOPARIB; VEMURAFENIB	7-HYDROXYSTAUROSPORINE; ABIRATERONE ACETATE; ALSTERPAULLONE; AZD7762; BARASERTIB-HQPA; CCT241533; CCT245737; CDK INHIBITOR 4.35	inhibitor	Inhibition; Serine/threonine-protein kinase Chk2 inhibitor	antiinflammatory agent; antineoplastic agent; corticosteroid
AURKB	No	0.6323	FDA Approved	1.0	0.2188	0.3333	1.0	83	9	BELUMOSUDIL; COPANLISIB; DASATINIB ANHYDROUS; ENTRECTINIB; ERLOTINIB; LAPATINIB; PAZOPANIB; SORAFENIB; VANDETANIB	(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE; ALISERTIB; AMG-900; AR-AO-14418; AT-9283; AT9283; AURORA B/C KINASE INHIBITOR GSK1070916A; AURORA KINASE INHIBITOR AMG 900	inhibitor	Inhibition; Serine/threonine-protein kinase Aurora inhibitor; Serine/threonine-protein kinase Aurora-B inhibitor; pan-Aurora kinase inhibitor	antineoplastic agent
CDK2	Yes	0.6212	FDA Approved	1.0	0.1816	0.3333	1.0	117	9	ACETAMINOPHEN; CARBOPLATIN; DAUNORUBICIN HYDROCHLORIDE; DEXAMETHASONE; ERIBULIN; HYDROGEN PEROXIDE; LOVASTATIN; PACLITAXEL PROTEIN-BOUND; TRILACICLIB	(7S)-2-(2-AMINOPYRIMIDIN-4-YL)-7-(2-FLUOROETHYL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE; (RS)-ROSCOVITINE; 1-AZAKENPAULLONE; 6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE; ACETAMINOPHEN; AG-24322; ALOISINE; ALSTERPAULLONE	inhibitor	CDK inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase inhibitor; Inhibition; None	DMARD; analgesic; antiasthmatic agent; anticholesterolaemic agent; antiinflammatory agent; antineoplastic agent; for treatment of Meniere's disease; f
AURKA	No	0.6192	FDA Approved	1.0	0.1753	0.3333	1.0	78	7	CISPLATIN; ENTRECTINIB; FLUOROURACIL; PACLITAXEL PROTEIN-BOUND; PAZOPANIB; SORAFENIB; TAMOXIFEN	ALISERTIB; ALISERTIB SODIUM; AMG-900; ANACARDIC ACID; AST-487; AT-9283; AT9283; AURORA A KINASE INHIBITOR MK5108	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor; Aurora A kinase inhibitor; Binding; Inhibition; Serine/threonine-protein kinase Aurora inhibitor; Serine/threonine-protein kinase Aurora-A inhibitor; pan-Aurora kinase inhibitor	Antineoplastic Agents; DMARD; Hormonal; antiinflammatory agent; antineoplastic agent; for treatment of peripheral arterial disease (PAD)
KAT2B	Yes	0.6182	FDA Approved	1.0	0.4286	0.0	0.9306	16	1	TRIAZOLAM	ANACARDIC ACID; CHEMBL:CHEMBL1797707; CHEMBL:CHEMBL1797708; CHEMBL:CHEMBL1797709; CHEMBL:CHEMBL1797711; CHEMBL:CHEMBL257748; CHEMBL:CHEMBL404916; CHEMBL:CHEMBL416038	inhibitor	Inhibition	analgesic; sedative
E2F1	No	0.615	FDA Approved	1.0	0.339	0.0667	1.0	27	18	ACETYLCYSTEINE; ARGIPRESSIN; ASCORBIC ACID; BORTEZOMIB; CARMUSTINE; CISPLATIN; DIETHYLSTILBESTROL; DOXORUBICIN HYDROCHLORIDE; ESTRADIOL VALERATE; ETOPOSIDE	ACETYLCYSTEINE; ANTISENSE OLIGONUCLEOTIDES; ARGIPRESSIN; ASCORBIC ACID; BORTEZOMIB; CARMUSTINE; CISPLATIN; DIETHYLSTILBESTROL	inhibitor	E2F inhibitor	Antidiuretic Agents; Antineoplastic Agents; Central Nervous System Stimulants; DMARD; Hormone Replacement Agents; analgesic; antiinflammatory agent; a
