CellType_Malignancy	mean_expr	median_expr	pct_nonzero	n_cells	gene	kw_pvalue	kw_chi2	pw_malig_vs_immune	pw_malig_vs_stromal	pw_immune_vs_stromal	is_predominant	predominant_compartment
Immune cells	0.033026694367902745	0	1.972504482964734	1673	PLK1	4.7872490470557086e-116	531.067829705092	1.4303508656699927e-59	1.7643299953920333e-69	0.12378865345566946	FALSE	Malignant cells
Malignant cells	0.23550258940026908	0	19.011254019292604	2488	PLK1	4.7872490470557086e-116	531.067829705092	1.4303508656699927e-59	1.7643299953920333e-69	0.12378865345566946	TRUE	Malignant cells
Stromal cells	0.008215935635065407	0	1.321079839172889	1741	PLK1	4.7872490470557086e-116	531.067829705092	1.4303508656699927e-59	1.7643299953920333e-69	0.12378865345566946	FALSE	Malignant cells
Immune cells	0.12792126286250818	0	15.002988643156007	1673	CDK2	4.248008550066247e-111	508.280990051348	8.911287253832109e-101	3.3432825931815257e-40	7.36576681188306e-17	FALSE	Malignant cells
Malignant cells	0.356386462762258	0	48.31189710610933	2488	CDK2	4.248008550066247e-111	508.280990051348	8.911287253832109e-101	3.3432825931815257e-40	7.36576681188306e-17	TRUE	Malignant cells
Stromal cells	0.21603224416790406	0	26.82366456059736	1741	CDK2	4.248008550066247e-111	508.280990051348	8.911287253832109e-101	3.3432825931815257e-40	7.36576681188306e-17	FALSE	Malignant cells
Immune cells	0.06252181836701616	0	6.455469216975493	1673	TOPBP1	6.026272536192459e-118	539.8178246137913	2.6869724358191763e-70	1.530024913479823e-71	0.8540851364205418	FALSE	Malignant cells
Malignant cells	0.1535680120202969	0	29.662379421221864	2488	TOPBP1	6.026272536192459e-118	539.8178246137913	2.6869724358191763e-70	1.530024913479823e-71	0.8540851364205418	TRUE	Malignant cells
Stromal cells	0.04561875042967183	0	6.662837449741528	1741	TOPBP1	6.026272536192459e-118	539.8178246137913	2.6869724358191763e-70	1.530024913479823e-71	0.8540851364205418	FALSE	Malignant cells
Immune cells	0.04347665189093368	0	10.699342498505679	1673	RAD51	6.46803532871324e-68	309.4178278396366	3.6249290816620624e-28	3.813856587919634e-56	8.819609339698917e-8	FALSE	Malignant cells
Malignant cells	0.1877943777910901	0	23.311897106109324	2488	RAD51	6.46803532871324e-68	309.4178278396366	3.6249290816620624e-28	3.813856587919634e-56	8.819609339698917e-8	TRUE	Malignant cells
Stromal cells	0.012188004218771736	0	5.743825387708214	1741	RAD51	6.46803532871324e-68	309.4178278396366	3.6249290816620624e-28	3.813856587919634e-56	8.819609339698917e-8	FALSE	Malignant cells
Immune cells	0.09268447881362214	0	9.085475194261805	1673	FANCI	4.443372537071463e-162	743.05474279301	4.938969038461581e-78	8.110318971721586e-116	9.706643515264129e-6	FALSE	Malignant cells
Malignant cells	0.26895340693894404	0	35.36977491961415	2488	FANCI	4.443372537071463e-162	743.05474279301	4.938969038461581e-78	8.110318971721586e-116	9.706643515264129e-6	TRUE	Malignant cells
Stromal cells	0.03232127235950693	0	5.284319356691556	1741	FANCI	4.443372537071463e-162	743.05474279301	4.938969038461581e-78	8.110318971721586e-116	9.706643515264129e-6	FALSE	Malignant cells
Immune cells	0.12158931889201255	0	13.508667065152421	1673	KAT2B	4.6512208540265775e-30	135.0808461108582	4.7277528664383334e-21	0.17844555327007955	4.7277528664383334e-21	TRUE	Immune cells
Malignant cells	0.02014498202118614	0	5.345659163987138	2488	KAT2B	4.6512208540265775e-30	135.0808461108582	4.7277528664383334e-21	0.17844555327007955	4.7277528664383334e-21	FALSE	Immune cells
Stromal cells	0.030268909171593177	0	4.365307294658242	1741	KAT2B	4.6512208540265775e-30	135.0808461108582	4.7277528664383334e-21	0.17844555327007955	4.7277528664383334e-21	FALSE	Immune cells
Immune cells	0.043748028547608425	0	3.1081888822474597	1673	DEPTOR	7.506216290006798e-6	23.59955808410305	4.162172157142534e-6	0.03183663699244674	0.013707984731013586	FALSE	Stromal cells
Malignant cells	0.059926427674621224	0	6.55144694533762	2488	DEPTOR	7.506216290006798e-6	23.59955808410305	4.162172157142534e-6	0.03183663699244674	0.013707984731013586	FALSE	Stromal cells
Stromal cells	0.0612765390396875	0	4.882251579551982	1741	DEPTOR	7.506216290006798e-6	23.59955808410305	4.162172157142534e-6	0.03183663699244674	0.013707984731013586	TRUE	Stromal cells
