CellType_Major	mean_expr	median_expr	pct_nonzero	sd_expr	n_cells	gene
Malignant	0.23550258940026908	0	19.011254019292604	0.5560227155960565	2488	PLK1
CD8Tex	0.06056950970237671	0	2.9940119760479043	0.3572602133836314	501	PLK1
Mono/Macro	0.0461917459044622	0	4.545454545454546	0.2601190524034919	88	PLK1
CD4Tconv	0.032715424583014754	0	1.6786570743405276	0.27043228406828884	417	PLK1
Endothelial	0.02267774895026259	0	2.2304832713754648	0.1839569261640443	269	PLK1
Plasma	0.01676000376569871	0	2.7027027027027026	0.12358824218420075	148	PLK1
CD8T	0.01189080369918721	0	0.7556675062972292	0.1531818048623897	397	PLK1
Fibroblasts	0.008296276643285527	0	1.747311827956989	0.07981898155831323	744	PLK1
Myofibroblasts	0.0028608445780616953	0	0.5633802816901409	0.05288100402283074	710	PLK1
Mast	0	0	0	0	122	PLK1
Myocyte	0	0	0	0	18	PLK1
Malignant	0.356386462762258	0	48.31189710610933	0.5266019365659542	2488	CDK2
Endothelial	0.3344058828489661	0	47.21189591078067	0.6022889414567469	269	CDK2
Myofibroblasts	0.21785294121727589	0	23.943661971830984	0.5703082653219068	710	CDK2
Fibroblasts	0.17672226659366022	0	22.849462365591396	0.49090146750109226	744	CDK2
CD4Tconv	0.16836985657407175	0	17.74580335731415	0.5128799350425484	417	CDK2
CD8Tex	0.15126321821592162	0	17.16566866267465	0.5130532378707711	501	CDK2
Mast	0.11691628984748889	0	13.114754098360656	0.4476888695850356	122	CDK2
CD8T	0.08836316436953257	0	10.327455919395465	0.38446866235834587	397	CDK2
Mono/Macro	0.08343523892987562	0	20.454545454545457	0.29074969798479344	88	CDK2
Plasma	0.07657368655057031	0	10.81081081081081	0.3269959211192315	148	CDK2
Myocyte	0	0	0	0	18	CDK2
Malignant	0.1535680120202969	0	29.662379421221864	0.3364563641026251	2488	TOPBP1
Myocyte	0.14919863291647725	0	11.11111111111111	0.4791955407189033	18	TOPBP1
Endothelial	0.08823296046066802	0	11.524163568773234	0.3057631911863763	269	TOPBP1
CD8Tex	0.07441075868489354	0	8.982035928143713	0.3272487980594129	501	TOPBP1
CD4Tconv	0.07063476749481874	0	6.235011990407674	0.37825320462404927	417	TOPBP1
CD8T	0.06493284492482872	0	5.289672544080604	0.35460877211168007	397	TOPBP1
Mono/Macro	0.05324520635279434	0	7.954545454545454	0.2215595570992449	88	TOPBP1
Fibroblasts	0.045202411763345995	0	7.258064516129033	0.21242411141462922	744	TOPBP1
Mast	0.0316379617574238	0	4.098360655737705	0.22129568044724418	122	TOPBP1
Myofibroblasts	0.027283673788328102	0	4.084507042253521	0.18639047136040135	710	TOPBP1
Plasma	0.023924088195529384	0	2.7027027027027026	0.19811511567576867	148	TOPBP1
Malignant	0.1877943777910901	0	23.311897106109324	0.4340241529753775	2488	RAD51
CD8Tex	0.0696883167935312	0	14.171656686626747	0.34650874141812527	501	RAD51
CD4Tconv	0.04227739059612996	0	11.510791366906476	0.25590745359491096	417	RAD51
Plasma	0.03465723403159714	0	6.756756756756757	0.22828379336602483	148	RAD51
CD8T	0.030709157557328275	0	9.319899244332493	0.22814096626832336	397	RAD51
Mono/Macro	0.023234802601742887	0	5.681818181818182	0.13686851568235794	88	RAD51
Endothelial	0.02033866026241079	0	7.063197026022305	0.15129539401666908	269	RAD51
Fibroblasts	0.010871455699636642	0	6.048387096774194	0.08267523046210841	744	RAD51
Myofibroblasts	0.010788524920793562	0	5.070422535211268	0.11016469689901592	710	RAD51
Mast	0.006782386930308586	0	6.557377049180328	0.037312897833086875	122	RAD51
Myocyte	0	0	0	0	18	RAD51
Malignant	0.26895340693894404	0	35.36977491961415	0.4716392104448547	2488	FANCI
CD8Tex	0.12718252458086615	0	10.778443113772456	0.4723642435360554	501	FANCI
CD4Tconv	0.09634424550963168	0	8.393285371702639	0.41543248958247353	417	FANCI
CD8T	0.08316472934510254	0	8.816120906801007	0.3960626698203604	397	FANCI
Myocyte	0.08035680412194168	0	11.11111111111111	0.3169612423008476	18	FANCI
Mono/Macro	0.06608646477065408	0	9.090909090909092	0.26047671591330784	88	FANCI
