gene	C_index_univariate	C_index_uni_se	C_index_multivariate	C_index_mv_se
PLK1	0.5831451157538114	0.030909164348000482	0.647535019101328	0.03256238254451822
CDK2	0.5804630152456239	0.03050741253091512	0.6356194287793342	0.03370334030338391
BRCA1	0.5503952569169961	0.032114335563692635	0.6297071129707112	0.0351399605663831
TOPBP1	0.5395962732919255	0.03106656277627678	0.6316172457704202	0.03486818268537929
EXO1	0.5448898927159797	0.03187901133296765	0.6313443696561761	0.03507777722636634
EGFR	0.5650056465273856	0.03126646206976482	0.6263416408950336	0.035583064409844385
BRCA2	0.5517363071710898	0.030164691972367583	0.6357103874840823	0.034661241247288435
FANCI	0.5457368718238284	0.03143511328869252	0.6277969801710024	0.034829756156111016
RAD51	0.5499717673630717	0.03079429630328574	0.6340731307986174	0.03478504417012351
CDC45	0.5323969508752118	0.0323642982107567	0.629252319446971	0.03562368988544962
POLD1	0.5353613777526821	0.0308679847834371	0.6264325995997817	0.03601691055529689
MSH6	0.5164455110107284	0.031836657755530615	0.6288884846279789	0.036000663799957006
RUVBL1	0.5454545454545454	0.030984458654627258	0.6243405493905767	0.03603407588085799
PRKDC	0.5218097120271034	0.03138430994099722	0.633072585046389	0.03551221526121135
RPTOR	0.5002823263692828	0.030745138613375373	0.6263416408950336	0.03603696482606665
CHEK2	0.4919536984754376	0.03131706208891154	0.6265235583045298	0.035988387791606465
TTI1	0.5297148503670243	0.03148960938400857	0.6301619064944515	0.035487487220330724
PARP1	0.4944946357989837	0.03250571047412953	0.6252501364380572	0.03595294448619368
RICTOR	0.5179277244494636	0.029217059517889	0.6265235583045298	0.03568712776715314
H2AX	0.5325381140598532	0.030671108691459698	0.6224304165908677	0.03582794149030132
KAT2A	0.5223037831733484	0.03234933661924569	0.6251591777333091	0.03593784099706171
KAT2B	0.5098108413325805	0.030661512744163504	0.6247043842095689	0.03631466171326844
CHEK1	0.5284443817052513	0.029427798769246085	0.6267964344187739	0.035513022823501876
E2F1	0.5035996612083569	0.030670081068561346	0.6255230125523012	0.036054272436355894
