gene	cutpoint	cut_method	n_high	n_low	logrank_chi	logrank_p	logrank_p_adj	significance
CDK2	4.582	optimal (maxstat)	135	87	15.132	1.0026592984035965e-4	0.0024063823161686315	**
PLK1	4.95	optimal (maxstat)	161	61	9.287	0.0023072891155326847	0.025509036965978994	*
RAD51	3.599	optimal (maxstat)	140	82	8.518	0.0035157409501429537	0.025509036965978994	*
TOPBP1	5.357	optimal (maxstat)	157	65	8.062	0.004519833125127715	0.025509036965978994	*
EGFR	8.33	optimal (maxstat)	99	123	7.769	0.0053143827012456235	0.025509036965978994	*
BRCA1	3.824	optimal (maxstat)	168	54	6.21	0.012702604945079354	0.05081041978031742	†
BRCA2	2.831	optimal (maxstat)	168	54	5.406	0.02006698037581256	0.06046423580485713	†
PARP1	7.097	optimal (maxstat)	153	69	5.026	0.02497446424776717	0.06046423580485713	†
H2AX	5.525	optimal (maxstat)	130	92	5.016	0.02511916453830021	0.06046423580485713	†
RUVBL1	5.953	optimal (maxstat)	140	82	5.011	0.02519343158535714	0.06046423580485713	†
FANCI	4.724	optimal (maxstat)	165	57	4.64	0.03124107575173518	0.06816234709469493	†
EXO1	3.442	optimal (maxstat)	142	80	3.615	0.05726279825697722	0.10991150083382861	ns
POLD1	4.686	optimal (maxstat)	160	62	3.55	0.059535396284990494	0.10991150083382861	ns
KAT2A	5.451	optimal (maxstat)	110	112	2.707	0.09993088110723725	0.171310081898121	ns
MSH6	5.388	optimal (maxstat)	167	55	2.254	0.1333036430022635	0.19823486021215683	ns
CHEK2	3.907	optimal (maxstat)	74	148	2.217	0.1364642166160035	0.19823486021215683	ns
CDC45	4.866	optimal (maxstat)	59	163	2.173	0.1404163593169444	0.19823486021215683	ns
PRKDC	8.665	optimal (maxstat)	57	165	1.772	0.18316389127585953	0.2315134913092043	ns
TTI1	4.614	optimal (maxstat)	159	63	1.698	0.19250467416906591	0.2315134913092043	ns
KAT2B	3.133	optimal (maxstat)	167	55	1.695	0.1929279094243369	0.2315134913092043	ns
RPTOR	5.463	optimal (maxstat)	118	104	1.604	0.20540443040316847	0.23474792046076395	ns
E2F1	3.529	optimal (maxstat)	168	54	1.277	0.25851395991840187	0.2820152290018929	ns
RICTOR	4.821	optimal (maxstat)	131	91	1.026	0.3111479749243845	0.32467614774718384	ns
CHEK1	3.992	optimal (maxstat)	154	68	0.43	0.5119946498338168	0.5119946498338168	ns
