gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	z_score	p_value	concordance	concordance_se	n	n_events	age_HR	age_p	stage_HR	stage_p	grade_HR	grade_p	gender_HR	gender_p	model_logtest_p	p_adj	significance
PLK1	0.4309844916287996	1.5387716859293215	1.1454008913694778	2.067239792861282	0.15063021298526752	2.8612088045772883	0.0042202899716442185	0.647535019101328	0.03256238254451822	192	87	1.029603021068011	0.004673766215145813	2.1003876775395427	0.0019205457650533363	1.2293304596590593	0.4100803014660761	0.9406422473489446	0.8014339741072337	2.8438518788643075e-5	0.10128695931946124	ns
CDK2	0.469597549846827	1.599350404864274	1.0566863551026031	2.4207010009996255	0.21146287456265647	2.220709194547931	0.026370664287304987	0.6356194287793342	0.03370334030338391	192	87	1.0265934164033315	0.010278501365182005	2.1862363581311706	0.0010517580100466476	1.0866191247144166	0.7432210915884492	0.9413477721667297	0.8035379293008594	1.6961235939451743e-4	0.31644797144765985	ns
EGFR	0.17020424688113064	1.185546970864676	0.9835188891144948	1.429074353001864	0.09531944651968065	1.7856193368263893	0.07416091382511404	0.6263416408950336	0.035583064409844385	192	87	1.030118276985809	0.005694957258149031	2.294710745724002	5.321768129419407e-4	1.2049193115828378	0.45455097694954516	0.929596776206581	0.7676512352045395	3.699728684014648e-4	0.4351013104575482	ns
RAD51	0.23585019993678968	1.2659846513809854	0.9644306666659641	1.6618272240064975	0.13881251725227622	1.699055709134345	0.0893086875020518	0.6340731307986174	0.03478504417012351	192	87	1.0266779208647927	0.011403393514408482	2.145742873594073	0.0014479304057478906	1.1525903727761255	0.5711452957472978	0.9337760932842395	0.779886008779762	3.864696010159715e-4	0.4351013104575482	ns
BRCA1	0.26888654824328684	1.308506680243512	0.9574158234895165	1.788344928331597	0.1593927364502948	1.686943547312375	0.09161420748813709	0.6297071129707112	0.0351399605663831	192	87	1.0275666291539165	0.008487107125472357	2.1609798082257927	0.0012748923215897944	1.2041058063083512	0.45637987266967517	0.9452177241517327	0.8182864433007514	3.9003253705833027e-4	0.4351013104575482	ns
BRCA2	0.21597924714697872	1.2410766228526737	0.9467818743674785	1.6268490404090326	0.13809732980099634	1.5639639626502067	0.1178260317663311	0.6357103874840823	0.034661241247288435	192	87	1.0262432545306863	0.012027558304890032	2.1629017209941597	0.0012958889772631845	1.166681630882116	0.5367448768877751	0.9327198818909342	0.7757939872336175	4.752991116584508e-4	0.4351013104575482	ns
FANCI	0.20608916116195192	1.2288627659429951	0.9397258493374463	1.606961965115429	0.13686795225578263	1.5057517685133972	0.13213090901333058	0.6277969801710024	0.034829756156111016	192	87	1.0268786543858104	0.01006392653751745	2.1578317019029147	0.0013336836230437197	1.1680893006808077	0.5335288292534237	0.9287386647958212	0.762366107627958	5.065646073013935e-4	0.4351013104575482	ns
EXO1	0.20557876424546076	1.2282357182116936	0.9315456753978278	1.6194192290643665	0.141068316726988	1.4572993356355204	0.14503377015251606	0.6313443696561761	0.03507777722636634	192	87	1.026285133817329	0.012469316535063817	2.1544516684343624	0.0013506391957994585	1.175204501715672	0.5179329807992458	0.9176934523115395	0.7256951117006958	5.353706641580549e-4	0.4351013104575482	ns
CDC45	0.13870024885323848	1.148779700356531	0.8973004784982503	1.4707389905329404	0.12605575521581253	1.1003087373184832	0.2711976265403233	0.629252319446971	0.03562368988544962	192	87	1.0259793170794498	0.014013644186324685	2.1982024897247587	9.80738771230381e-4	1.1646760408362458	0.5430014613560484	0.9340486712158684	0.7811907332023222	8.227688344439204e-4	0.6195698547209331	ns
PRKDC	0.15736763380303054	1.1704258229128233	0.8820684884279651	1.553050159838051	0.14431551331826442	1.0904415622732242	0.2755186820132855	0.633072585046389	0.03551221526121135	192	87	1.027073393658519	0.010528889568366596	2.1974844659126873	9.981741570328103e-4	1.2307915194313144	0.40676907974473026	0.9218251604433554	0.7412964432640914	8.264115710826515e-4	0.6195698547209331	ns
TOPBP1	0.15940457347888168	1.172812339479133	0.8761747035510253	1.5698795891502402	0.14877536037979913	1.0714447141781267	0.28396951674709436	0.6316172457704202	0.03486818268537929	192	87	1.0255450835563231	0.015576841278823928	2.141783224990039	0.0016531719115578786	1.2055835688096903	0.4528652154598339	0.95083255332659	0.8371140155824399	8.43628212932889e-4	0.6195698547209331	ns
CHEK1	0.1563671581228542	1.1692554259160401	0.8449369864722813	1.6180594209068289	0.16574813992148504	0.9434021895927482	0.3454752236363324	0.6267964344187739	0.035513022823501876	192	87	1.0270941578469228	0.010044905818050235	2.296902817550629	5.644765140599757e-4	1.180270872091105	0.5074192995581086	0.9217340317044226	0.7398253200201057	9.402066075129931e-4	0.6909504472726647	ns
