gene_symbol	PIKK_Group	GeneRole	regulation	log2FoldChange	pathway_role	composite_score	cutpoint	cut_method	n_high	n_low	logrank_p	logrank_p_adj	uni_HR	uni_HR_lower	uni_HR_upper	uni_p	uni_p_adj	uni_Cindex	mv_HR	mv_HR_lower	mv_HR_upper	mv_p	mv_p_adj	mv_Cindex	survival_significant
PLK1	ATR	Associated	Up in Tumor	1.94476855269208	Cell Cycle Regulator	1.56793957204944	4.95	optimal (maxstat)	161	61	0.0023072891155326847	0.025509036965978994	1.4683661388740852	1.1215004701263944	1.922512896984336	0.005206897264097673	0.12496553433834415	0.5831451157538114	1.5387716859293215	1.1454008913694778	2.067239792861282	0.0042202899716442185	0.10128695931946124	0.647535019101328	Yes (KM only)
CDK2	ATM	Associated	Not significant	0.832320332639498	Cell Cycle Regulator	-0.946750365419905	4.582	optimal (maxstat)	135	87	1.0026592984035965e-4	0.0024063823161686315	1.444509908900604	0.9985965403010663	2.0895414641462113	0.05087795512392015	0.3283134869229529	0.5804630152456239	1.599350404864274	1.0566863551026031	2.4207010009996255	0.026370664287304987	0.31644797144765985	0.6356194287793342	Yes (KM only)
BRCA1	ATR	Associated	Up in Tumor	1.09412640696597	DNA Repair Effector	3.43281638828075	3.824	optimal (maxstat)	168	54	0.012702604945079354	0.05081041978031742	1.283262501635131	0.9818095181632458	1.6772730531107425	0.06791231367530821	0.3283134869229529	0.5503952569169961	1.308506680243512	0.9574158234895165	1.788344928331597	0.09161420748813709	0.4351013104575482	0.6297071129707112	No
TOPBP1	ATR	Associated	Not significant	0.936104166298609	Checkpoint Regulator	-1.33960703277634	5.357	optimal (maxstat)	157	65	0.004519833125127715	0.025509036965978994	1.2849275158318696	0.9811558907955181	1.682748619695085	0.06849645341981798	0.3283134869229529	0.5395962732919255	1.172812339479133	0.8761747035510253	1.5698795891502402	0.28396951674709436	0.6195698547209331	0.6316172457704202	Yes (KM only)
EXO1	ATR	Associated	Up in Tumor	1.71631172166908	DNA Repair Effector	1.15812736621372	3.442	optimal (maxstat)	142	80	0.05726279825697722	0.10991150083382861	1.270750285237763	0.9814535300147825	1.6453211874509572	0.06907504211427075	0.3283134869229529	0.5448898927159797	1.2282357182116936	0.9315456753978278	1.6194192290643665	0.14503377015251606	0.4351013104575482	0.6313443696561761	No
EGFR	PRKDC	Associated	Up in Tumor	1.95700113368336	Signalling Effector	0.716991708596129	8.33	optimal (maxstat)	99	123	0.0053143827012456235	0.025509036965978994	1.1474208853294217	0.9805084032524909	1.3427469705745323	0.0864286789773732	0.3283134869229529	0.5650056465273856	1.185546970864676	0.9835188891144948	1.429074353001864	0.07416091382511404	0.4351013104575482	0.6263416408950336	Yes (KM only)
BRCA2	ATM	Associated	Up in Tumor	1.23692433322199	DNA Repair Effector	1.84743529931592	2.831	optimal (maxstat)	168	54	0.02006698037581256	0.06046423580485713	1.2140394727520591	0.9632092572312868	1.5301886172032348	0.10048220952765512	0.3283134869229529	0.5517363071710898	1.2410766228526737	0.9467818743674785	1.6268490404090326	0.1178260317663311	0.4351013104575482	0.6357103874840823	No
FANCI	ATR	Associated	Up in Tumor	1.19276295105898	DNA Repair Effector	-1.11043384258022	4.724	optimal (maxstat)	165	57	0.03124107575173518	0.06816234709469493	1.2276064473798107	0.9550214122264125	1.577993509208569	0.10943782897431764	0.3283134869229529	0.5457368718238284	1.2288627659429951	0.9397258493374463	1.606961965115429	0.13213090901333058	0.4351013104575482	0.6277969801710024	No
RAD51	ATR	Associated	Up in Tumor	1.36852243145924	DNA Repair Effector	1.59680072104964	3.599	optimal (maxstat)	140	82	0.0035157409501429537	0.025509036965978994	1.195312278639258	0.9219563070883918	1.5497170879799544	0.17809985951947466	0.45607550636333816	0.5499717673630717	1.2659846513809854	0.9644306666659641	1.6618272240064975	0.0893086875020518	0.4351013104575482	0.6340731307986174	Yes (KM only)
CDC45	ATR	Associated	Up in Tumor	1.61105611973795	Cell Cycle Regulator	0.392307320036966	4.866	optimal (maxstat)	59	163	0.1404163593169444	0.19823486021215683	1.1741593622133726	0.9235134405590734	1.492831774098178	0.19003146098472423	0.45607550636333816	0.5323969508752118	1.148779700356531	0.8973004784982503	1.4707389905329404	0.2711976265403233	0.6195698547209331	0.629252319446971	No
