gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	z_score	p_value	concordance	concordance_se	n	n_events	p_adj	significance
PLK1	0.38415031249593745	1.4683661388740852	1.1215004701263944	1.922512896984336	0.1374937603186881	2.793947242446055	0.005206897264097673	0.5831451157538114	0.030909164348000482	222	98	0.12496553433834415	ns
CDK2	0.36777010064489907	1.444509908900604	0.9985965403010663	2.0895414641462113	0.18835782138234852	1.9525077214519306	0.05087795512392015	0.5804630152456239	0.03050741253091512	222	98	0.3283134869229529	ns
BRCA1	0.24940566457729726	1.283262501635131	0.9818095181632458	1.6772730531107425	0.13661660596291675	1.8255882059095803	0.06791231367530821	0.5503952569169961	0.032114335563692635	222	98	0.3283134869229529	ns
TOPBP1	0.25070230884325506	1.2849275158318696	0.9811558907955181	1.682748619695085	0.1376179526385644	1.8217267735532439	0.06849645341981798	0.5395962732919255	0.03106656277627678	222	98	0.3283134869229529	ns
EXO1	0.23960750180895582	1.270750285237763	0.9814535300147825	1.6453211874509572	0.13180248010532897	1.8179286278791968	0.06907504211427075	0.5448898927159797	0.03187901133296765	222	98	0.3283134869229529	ns
EGFR	0.1375167153290391	1.1474208853294217	0.9805084032524909	1.3427469705745323	0.08020595254641456	1.7145450052408424	0.0864286789773732	0.5650056465273856	0.03126646206976482	222	98	0.3283134869229529	ns
BRCA2	0.19395320673150113	1.2140394727520591	0.9632092572312868	1.5301886172032348	0.1180826801502156	1.642520363568721	0.10048220952765512	0.5517363071710898	0.030164691972367583	222	98	0.3283134869229529	ns
FANCI	0.2050662957697001	1.2276064473798107	0.9550214122264125	1.577993509208569	0.12810838123736815	1.6007250563079003	0.10943782897431764	0.5457368718238284	0.03143511328869252	222	98	0.3283134869229529	ns
RAD51	0.1784074722821151	1.195312278639258	0.9219563070883918	1.5497170879799544	0.13248453550872993	1.3466286581829705	0.17809985951947466	0.5499717673630717	0.03079429630328574	222	98	0.45607550636333816	ns
CDC45	0.1605524551352092	1.1741593622133726	0.9235134405590734	1.492831774098178	0.12251366991582736	1.3104860481733691	0.19003146098472423	0.5323969508752118	0.0323642982107567	222	98	0.45607550636333816	ns
POLD1	0.19984327583475073	1.221211349832011	0.8740705904393039	1.7062205012629164	0.17063446980037034	1.17117764112112	0.24152738060679363	0.5353613777526821	0.0308679847834371	222	98	0.4915621456759989	ns
MSH6	0.1709597081902463	1.186442944125257	0.8780737613631591	1.6031077588280476	0.1535662842663953	1.1132632986917768	0.26559536405515516	0.5164455110107284	0.031836657755530615	222	98	0.4915621456759989	ns
RUVBL1	0.1800563739486663	1.1972848568944086	0.871633612952885	1.6446027404706682	0.1619634281310042	1.1117100695289532	0.2662628289078327	0.5454545454545454	0.030984458654627258	222	98	0.4915621456759989	ns
PRKDC	0.14445572698237102	1.1554105403201556	0.8748444433621719	1.5259553018961745	0.14192348258449947	1.0178423214520818	0.3087528958942023	0.5218097120271034	0.03138430994099722	222	98	0.5292906786757753	ns
RPTOR	-0.12259083509871653	0.8846255462450233	0.6398470447529577	1.2230459818275006	0.16527614345041186	-0.7417333956337002	0.4582488818184141	0.5002823263692828	0.030745138613375373	222	98	0.6671099312538809	ns
CHEK2	0.09436056296676809	1.0989559172964054	0.8424153139973812	1.433620790237128	0.1356365241310922	0.6956869734848775	0.4866248851860804	0.4919536984754376	0.03131706208891154	222	98	0.6671099312538809	ns
TTI1	0.112649942557791	1.1192400660498862	0.8070470776429318	1.5521998160379868	0.16685164673568942	0.6751503192308337	0.4995802668151424	0.5297148503670243	0.03148960938400857	222	98	0.6671099312538809	ns
PARP1	0.13753200861343642	1.1474384332975271	0.7691839876954408	1.7117035446265672	0.20406348998299595	0.6739667572327446	0.5003324484404107	0.4944946357989837	0.03250571047412953	222	98	0.6671099312538809	ns
RICTOR	0.08091882324989608	1.0842828744341935	0.8278775303578765	1.4201005688402442	0.1376601157524243	0.5878160337699051	0.5566557806951293	0.5179277244494636	0.029217059517889	222	98	0.7031441440359528	ns
H2AX	0.04975003941365005	1.0510083528754888	0.8300549883507442	1.3307775669282353	0.12041719676294876	0.4131472974876431	0.6794986982936436	0.5325381140598532	0.030671108691459698	222	98	0.8022387149528968	ns
KAT2A	0.05480783709425891	1.0563376062669123	0.7934211648785756	1.4063768245764892	0.14602764868786955	0.37532506745629585	0.7074187254143238	0.5223037831733484	0.03234933661924569	222	98	0.8022387149528968	ns
KAT2B	-0.03364033655788459	0.9669192075961885	0.7944407183233951	1.176843951291348	0.10024499218123377	-0.3355812178334649	0.7371866894537794	0.5098108413325805	0.030661512744163504	222	98	0.8022387149528968	ns
CHEK1	0.044126429347952634	1.045114479678244	0.7787109566258961	1.4026568733100102	0.15012611341847243	0.29392907298513365	0.7688121018298595	0.5284443817052513	0.029427798769246085	222	98	0.8022387149528968	ns
E2F1	0.019228271897487333	1.0194143257020316	0.8197694193019486	1.2676803293436267	0.11120635269668422	0.17290623630047938	0.8627251296301727	0.5035996612083569	0.030670081068561346	222	98	0.8627251296301727	ns
